steps,avg_reward,collision_rate,episode_length
27300,33.45210499554001,0.0,40.0
27400,33.49192235599122,0.0,40.0
27500,32.772132638148626,0.0,40.0
27600,33.45210499554001,0.0,40.0
27700,32.47877166114465,0.0,40.0
27800,32.01213270142181,0.0,40.0
27900,32.50543832781131,0.0,40.0
28000,33.45210499554001,0.0,40.0
28100,32.97210610075927,0.0,40.0
28200,33.01210499447799,0.0,40.0
28300,32.50543832781131,0.0,40.0
28400,33.225438327811325,0.0,40.0
28500,33.37213222094338,0.0,40.0
28600,32.01213270142181,0.0,40.0
28700,33.41212905288003,0.0,40.0
28800,32.49213222200723,0.0,40.0
28900,32.57210657215587,0.0,40.0
29000,33.45210499554001,0.0,40.0
29100,32.985438327811316,0.0,40.0
29200,32.26543832781131,0.0,40.0
29300,32.01213270142181,0.0,40.0
29400,33.198771661144654,0.0,40.0
29500,32.01213270142181,0.0,40.0
29600,32.478799304815276,0.0,40.0
29700,32.46546597159539,0.0,40.0
29800,32.478799304815276,0.0,40.0
29900,32.99879571943744,0.0,40.0
30000,33.45210499554001,0.0,40.0
30100,33.41212905288003,0.0,40.0
30200,33.45210499554001,0.0,40.0
30300,32.01213270142181,0.0,40.0
30400,33.39877166114464,0.0,40.0
30500,32.93213222105055,0.0,40.0
30600,33.38543832885431,0.0,40.0
30700,32.90543832781132,0.0,40.0
30800,32.47879888867388,0.0,40.0
30900,33.35879571952781,0.0,40.0
31000,32.50543990548918,0.0,40.0
31100,32.46546602642286,0.0,40.0
31200,33.265462386104105,0.0,40.0
31300,32.945462386104104,0.0,40.0
31400,32.58546555427436,0.0,40.0
31500,32.67879888760768,0.0,40.0
31600,33.37213222094338,0.0,40.0
31700,32.01213270142181,0.0,40.0
31800,33.332132638148806,0.0,40.0
31900,33.45210499554001,0.0,40.0
32000,32.46546597148194,0.0,40.0
32100,32.99879571943744,0.0,40.0
32200,33.45210499554001,0.0,40.0
32300,33.41212905288003,0.0,40.0
32400,32.85210499447798,0.0,40.0
32500,33.19879571943744,0.0,40.0
32600,32.49212905277076,0.0,40.0
32700,33.41212905288003,0.0,40.0
32800,32.47877166114465,0.0,40.0
32900,33.29210499539566,0.0,40.0
