steps,avg_reward,collision_rate,episode_length
21600,33.21737286268027,0.0,40.0
21700,33.324884587604195,0.0,40.0
21800,31.65679410181888,0.0,40.0
21900,33.58652650028091,0.0,40.0
22000,28.27779423843325,0.0,40.0
22100,30.982020722377,0.0,40.0
22200,31.785608537926922,0.0,40.0
22300,33.30915026318972,0.0,40.0
22400,33.463506934747016,0.0,40.0
22500,33.450915583623974,0.0,40.0
22600,28.42326332670456,0.0,40.0
22700,25.755148271491986,0.0,40.0
22800,29.274197958028193,0.0,40.0
22900,30.847398935816603,0.0,40.0
23000,33.18576085769867,0.0,40.0
23100,33.328356333099194,0.0,40.0
23200,32.97854069652137,0.0,40.0
23300,30.05282275376341,0.0,40.0
23400,33.27918341090091,0.0,40.0
23500,33.17923860452679,0.0,40.0
23600,32.25768391478437,0.0,40.0
23700,33.31811507725397,0.0,40.0
23800,33.21601094085567,0.0,40.0
23900,29.769660582490236,0.0,40.0
24000,33.24426747666922,0.0,40.0
24100,33.62348901510544,0.0,40.0
24200,33.16437294419728,0.0,40.0
24300,33.468648077599234,0.0,40.0
24400,32.603792046962894,0.0,40.0
24500,31.689873633518364,0.0,40.0
24600,33.2803905944705,0.0,40.0
24700,32.46829721030003,0.0,40.0
24800,33.35111172722058,0.0,40.0
24900,33.34135715942377,0.0,40.0
25000,28.453497230673506,0.0,40.0
25100,30.872499086337797,0.0,40.0
25200,33.319588217867285,0.0,40.0
25300,33.35797485505139,0.0,40.0
25400,33.20378691541741,0.0,40.0
25500,27.341246166262007,0.0,40.0
25600,29.979662977881187,0.0,40.0
25700,33.20439003438725,0.0,40.0
25800,29.17820639174387,0.0,40.0
25900,33.33936215290674,0.0,40.0
26000,33.293477821984176,0.0,40.0
26100,33.22635683726657,0.0,40.0
26200,29.22237880421115,0.0,40.0
26300,33.17324979501137,0.0,40.0
26400,33.369919596899535,0.0,40.0
26500,32.94269815385136,0.0,40.0
26600,32.916560367452824,0.0,40.0
26700,30.955288850528735,0.0,40.0
26800,33.34472833625228,0.0,40.0
26900,33.186796530579045,0.0,40.0
27000,29.14225824381671,0.0,40.0
27100,33.271299338900285,0.0,40.0
27200,32.74988520170117,0.0,40.0
27300,33.41905216765018,0.0,40.0
27400,31.690315041975012,0.0,40.0
27500,33.25865140347671,0.0,40.0
27600,33.31675468203121,0.0,40.0
27700,33.31579438304401,0.0,40.0
27800,33.47705137029827,0.0,40.0
27900,30.84959754976146,0.0,40.0
28000,27.07541745410369,0.0,40.0
28100,33.139506085634316,0.0,40.0
28200,33.31579334414949,0.0,40.0
28300,33.003584119594485,0.0,40.0
